usuario,comentario,keywords_detectadas
Usuario no disponible,Tonsupa cuando ya vas llegando la vista de los edificios parece Miami pero el agua no es como alla ya que no esta tan limpia sin embargo los demas para rentar si. hermosos,no_relacionado
Usuario no disponible,"Tonsupa Esmeraldas, yo me iba cuando era una playa votada y llena de yerba, que enorme cambio en pocos anos ojala y la cuiden",playa
Usuario no disponible,Desde las alturas: . Caminar por las calles:,no_relacionado
Usuario no disponible,Hermosa la playa de Tonsupa,playa
Usuario no disponible,un arreglo en las calles con veredas seria excelente,no_relacionado
Usuario no disponible,Se ve bien bonito el color del agua pero cuando bajas es cafe jaja y es por la gran cantidad de sedimento que bajan de los rios. :'(,bonito
Usuario no disponible,como se llega a tonsupa de Quito,no_relacionado
Usuario no disponible,el lindo esmeraldas,no_relacionado
Usuario no disponible,LA PLAYA,playa
Usuario no disponible,hermoso mi Ecuador,hermoso
Usuario no disponible,"Hermosa la playa de Tonsupa, las mejores vacaciones",playa
Usuario no disponible,Freysi cherres confirma,no_relacionado
Usuario no disponible,yo que esta semana me iba para alla a Tonsupa pero con este oleaje ya me da miedo ir,no_relacionado
Usuario no disponible,linda providencia,no_relacionado
Usuario no disponible,ciudad hermosa,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario perdido,"que frescura de esos polis en vez de revisar signos vitales o tratar de armar un operativo para encontrar a los responsables, yo de ellos ni publicara su negligencia",no_relacionado
Usuario perdido,Para eso nadota mas lo que se demoran,no_relacionado
Usuario perdido,Los policias minimo deberian saber primeros auxilios o algo por el estilo para poder ayudar a estabilizar a los px en estos casos,no_relacionado
Usuario perdido,Que es un simulacro o por que no le atienden rapido como emergencia?,no_relacionado
Usuario perdido,El otro lo toca con el pie!,no_relacionado
Usuario perdido,la ayuda debe ser inmediata por que se paran a saludarse que ironia.,no_relacionado
Usuario perdido,Porque no muestran la hora cuando el chico hablo para ver cuanto tiempo se demoran en ayudar al afectado,no_relacionado
Usuario perdido,se le quedan viendo mientras esta tirado xd,no_relacionado
Usuario perdido,felicidades por acudir al auxilio mas puntos asi deben poner.,no_relacionado
Usuario perdido,"Y el policia procede a patearle, que buenas tecnicas tienen",no_relacionado
Usuario perdido,O sea el boton de panico es para que queden viendo como esta tirado en el suelo o como?,no_relacionado
Usuario perdido,"Que incompetencia de los servidores publicos, con esa lentitud y quemiimportismo con la que llegan",no_relacionado
Usuario perdido,nada habla de la aranita que estaba ahi y la aplasto cuando toco el boton,no_relacionado
Usuario perdido,el sujeto con la cabeza abierta y los policias y parametros dando las buenas noches . enserio publicaron esto?,no_relacionado
Usuario perdido,Pero que tranquilidad de la policia,no_relacionado
Usuario perdido,Que excelente iniciativa.... Asi que fuera el municipio de Quito pero lastimosamente Quito no tiene alcalde,no_relacionado
Usuario perdido,"Wow que ""respuesta inmediata"" tan buena fue, hasta eso ya en descomposicion el cuerpo.",no_relacionado
Usuario perdido,"No pues y segun ""respuesta inmediata del boton de panico"", para eso mejor no hacen nd",no_relacionado
Usuario perdido,como siempre llegando tarde,no_relacionado
Usuario perdido,pero ayudenlo no se saluden,no_relacionado
Usuario perdido,Que paso?,no_relacionado
Usuario perdido,Respuesta inmediata para recoger el cadaver,no_relacionado
Usuario perdido,Son tan eficaces los polis,no_relacionado
Usuario perdido,Se ve q hasta pereza tienen JAJAJAJA mejor nada,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,Pasaron 22 minutos desde la negligencia del policia hasta que llego la ambulancia que indignacion y todavia se atreven a publicar,no_relacionado
Usuario perdido,"Me Gusta la ""URGENCIA"" con que van a Auxiliar a el joven, les falta Humanismo y CAPACITACION EN PRIMEROS AUXILIOS HASTA QUE LLEGUE LA. AMBULANCIA 1000 DORITOS DESPUES!!!!",no_relacionado
Usuario perdido,"Ahi si no llegan pronto, pero si huebira estado ahi pegandome un trago ahi no hay necesidad ni de tocar el boton",no_relacionado
Usuario perdido,hasta que se den la mano hasta que piensen que van hacer ese hombre tirado al piso.. asi de rapido son hasta eso ya se muere el paciente,no_relacionado
Usuario perdido,atencion inmediata ya cuando el pobre esta tieso jajaja,no_relacionado
Usuario perdido,Like para parte 2,no_relacionado
Usuario perdido,Para eso ni iban,no_relacionado
Usuario perdido,Y publican tremenda negligencia,no_relacionado
Usuario perdido,jajajaja vaya no querian un te los policias? el de la ambulancia no queria una silla para sentarse?,no_relacionado
Usuario perdido,con esa paciencia el chico se pudo haber muerto pero fuera para pedir dinero si estan buenos no hacen siquiera toma de signos vitales se quedan parados viendo a ver si el chico se levanta y les cuenta que le paso y q asco de seguridad,no_relacionado
Usuario perdido,Pesimoooooo mejor no publiquen nada,no_relacionado
Usuario perdido,con esa paciencia que llegan diosss vamos de mal en peor en este mundo,no_relacionado
Usuario perdido,Primero chismesito,no_relacionado
Usuario no disponible,si ella va yo voy,no_relacionado
Usuario no disponible,exelente video te invito alas aguas termales la Grita bendiciones para todos ustedes que dan ha conocer sitios tan hermosos que tiene el Tachira,"conocer, termales"
Usuario no disponible,que dia tienen para ir y el precio porfa,precio
Usuario no disponible,45min corriendo sera y subiendo como hora 20,no_relacionado
Usuario no disponible,si alla es muy bello yo fui pa ese mismo lado,no_relacionado
Usuario no disponible,Me parecio ver a Terry fue uno de mis profesores en la Antonio Jose De Sucre,no_relacionado
Usuario no disponible,en que parte es las adjuntas,no_relacionado
Usuario no disponible,yo solo busque el deportivo Tachira,no_relacionado
Usuario no disponible,un lindo lugar,lugar
Usuario no disponible,yo te miro a vos,no_relacionado
Usuario no disponible,informacion sobre el paseo por favor,"informacion, paseo"
Usuario no disponible,Muy hermos ese lugar y la joven turista muy hermosa,lugar
Usuario no disponible,en que lado es,no_relacionado
Usuario no disponible,precio del tours,precio
Usuario no disponible,que bonito ese lugar,"bonito, lugar"
Usuario no disponible,Hermosa,no_relacionado
Usuario no disponible,q precio sale el tour,"precio, tour"
Usuario no disponible,si lo conozco corazon,no_relacionado
Usuario no disponible,te invito q vallas a conocer las aguas termales don cheo La Grita,"conocer, termales"
Usuario no disponible,,no_relacionado
Usuario perdido,2021 y ahora le dictan sentencia y de 7 anos QUE ASC0 ESTAS LEYES,no_relacionado
Usuario perdido,7 anos dios mio,no_relacionado
Usuario perdido,4 anos para poder dictar su condena?,no_relacionado
Usuario perdido,"Por eso no confio en la justicia humana, porque es un delito flagrante y tardan anos para dictar sentencia.",no_relacionado
Usuario perdido,tanto tiempo esperar para una sentencia q clase de leyes son,no_relacionado
Usuario perdido,mamitas por favor no dejen a sus hijos solos,no_relacionado
Usuario perdido,porq las investigaciones duraron 4 anos,no_relacionado
Usuario perdido,"esta muy poco es cierto, pero tambien se tiene que tener en cuenta que ese acto sea real, hoy en dia una persona puede condenar a otra por cualquier mentira...",no_relacionado
Usuario perdido,siete anos ?,no_relacionado
Usuario perdido,Solo 7 anos,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,"Es en serio q una investigacion teniendo al tipo en frente y la nina lo reconoce y ponen una denuncia tardaron 4 anos d investigacion. Recien le dan la sentencia, este tipo ni debe salir nunca.",no_relacionado
Usuario perdido,y hay un hombre mayor q atiende el bano al lado de donde venden los mariscos que quiere q ninos entren solos y yo me e puesto varias veces como fiera x q mi hijo tiene 5 anos y no puede ir a banos publicos solo llamenme muy protectora pues si lo soy,no_relacionado
Usuario perdido,deben darle unos 30 anos de carcel,no_relacionado
Usuario perdido,eso es mentira nunca le vio a la nina todo esto es por estafa de dinero kerian dinero y miren nomas hasta donde llegamos,no_relacionado
Usuario perdido,Esto es repugnante una nina de 6 anos no miente en cuanto a esto esto no es justicia,no_relacionado
Usuario perdido,Asco este tipo de leyes que duraron 4 anos de investigacion,no_relacionado
Usuario perdido,dios mio y ellos seguiran atendiendo los banos o ya seran otros esto es preocupante dios mio,no_relacionado
Usuario perdido,muy pocos anos de condena,no_relacionado
Usuario perdido,"CUATRO ANOS, CUATRO ANOS..",no_relacionado
Usuario perdido,la carcel tiene hacer justicia,no_relacionado
Usuario perdido,manitas no dejemos que nuestros pequen vayan solos alos banos publicos acompanemolos para invitarte un desastre ay personas malvada entre nosotros,no_relacionado
Usuario perdido,ya le quedan tres anos,no_relacionado
Usuario perdido,"Definitivamente se reafirma las leyes estan hechas para beneficiar a los delincuents, esperar tanto tiempo para dictar una sentencia, que tristeza menos mal no se fugo, seguramente estaba confiando del sistema penal y su negligencia",no_relacionado
Usuario perdido,Muy poco tiempo de carcel.,no_relacionado
Usuario perdido,Tanto se demoran para dictar una sentencia,no_relacionado
Usuario perdido,"En verdad se demoraron 4 anos para dictar una condena , increible pero creible , primero pq un hombre esta en el bano de mujeres ? Porq ni vender paper higenico deberian dejar a nadie ni aun hombre ni a una mujer por eso los ninos y ninas estan expuestos a estos incidentes. Pq en el mundo hay gente enferma",no_relacionado
Usuario perdido,Bien bien se iso justicia ya era hora,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,Una porqueria las leyes en el Ecuador da verguenza,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario no disponible,Hola informacion por favor,informacion
Usuario no disponible,cuanto cuesta un vuelo desde Ecuador,no_relacionado
Usuario no disponible,Info xfa,no_relacionado
Usuario no disponible,informacion,informacion
Usuario no disponible,inf,no_relacionado
Usuario no disponible,Informacion por favor,informacion
Usuario no disponible,Info,no_relacionado
Usuario no disponible,sigue disponible,no_relacionado
Usuario no disponible,Como lo reservo,no_relacionado
Usuario no disponible,Otro video mas y voy caminado a Brasil,no_relacionado
Usuario no disponible,informacion para un viaje en Pareja,"informacion, viaje"
Usuario no disponible,yo yo yooooo pero viajo en marzo 2026,no_relacionado
Usuario no disponible,informacion,informacion
Usuario no disponible,cuanto vale ??,no_relacionado
Usuario no disponible,Inf,no_relacionado
Usuario no disponible,Informacion por favor,informacion
Usuario no disponible,info,no_relacionado
Usuario no disponible,hola! tambien incluye boleto aereo?,no_relacionado
Usuario no disponible,me puede ayudar con mas informacion,informacion
Usuario no disponible,informacion xfvor,informacion
Usuario perdido,Y la Guardia Ciudadana Multaron ? X libar en espacios publicos o todo como siempre lo sigue haciendo la Emov,no_relacionado
Usuario perdido,Muy bien,no_relacionado
Usuario perdido,Buscan recuperar billete,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,"ojala tambien han a los taxis, muchos tienen adulterado el taximetro",no_relacionado
Usuario perdido,Buenazo hay mucha gente en estado etilico a la madrugada y por eso hay los accidentes y rinas callejeras ojala sigan los operativos,no_relacionado
Usuario perdido,"Siempre deben hacer esos operativos.. Hay mucha bondad en las sanciones, deben endurecer",no_relacionado
Usuario perdido,BUEN TRABAJO,no_relacionado
Usuario no disponible,yo vivo en galapagos que es mas hermoso,hermoso
Usuario no disponible,"EL SALVADOR ES EL VERDADERO""ES UN PAIS PEQUENO PERO.. """,no_relacionado
Usuario no disponible,Hermoso donde es? Como se puede llegar ?,hermoso
Usuario no disponible,Nuestro pais es espectacular. Viva Ecuador,no_relacionado
Usuario no disponible,Si volviera a nacer quiero nacer nuevamente en mi lindo Ecuador.,no_relacionado
Usuario no disponible,Mi Ecuador bonito no te hacen justicia ni estos videos tan bonitos,bonito
Usuario no disponible,Ese de Guayaquil tiene historia,no_relacionado
Usuario no disponible,"Ay que lindo, yo toda la vida en Ecuador y solo conozco loja, pero es re linda igual",no_relacionado
Usuario no disponible,Precioso quede enamorada de mi pais y con ganas de volver,no_relacionado
Usuario no disponible,xfin alguien q si muestra fotos de ecuador,no_relacionado
Usuario no disponible,"Ya olviden esa idea de q es pequeno, es mas grande q cualquier pais de Centro America, estuviera en Europa seria uno de los mas grands de Europ",no_relacionado
Usuario no disponible,Enamorada de cada lugar maravilloso de nuestro pais,lugar
Usuario no disponible,si es verdad,no_relacionado
Usuario no disponible,Pequeno en tamano pero grande en belleza.,no_relacionado
Usuario no disponible,Ecuador pais de los 4 mundos,no_relacionado
Usuario no disponible,"Ecuador no es pequeno ...Somos mas grades q Reino Unido y de la mayoria de paises europeos...En LATAM los paises son gigantes, Brasil es casi Europa",no_relacionado
Usuario no disponible,Ante tanta noticia mala que pasa en mi pais esto es dar a conocer al mundo su belleza natural y refresca el alma esperando mejorar nuestra situacion,conocer
Usuario no disponible,Hermoso gracias,hermoso
Usuario no disponible,Es precioso Ecuador,no_relacionado
Usuario perdido,supuestamente no hay policias y no tienen equipos,no_relacionado
Usuario perdido,pero no hay uno donde estan antes pasaban por el centro pero brillan por la ausencia,no_relacionado
Usuario perdido,me dueles ecuador,no_relacionado
Usuario perdido,Para mi Cuenca era uno de los lugares donde yo podia estar tranquila cuando iba de visita,visita
Usuario perdido,yo que queria irme a vivir a cuenca o loja y ya veo que hasta alla esta terrible,no_relacionado
Usuario perdido,"LA DELINCUENCIA ESTA EN TODO EL PAIS EN CADA SITIO , NO HAY LUGAR SEGURO","lugar, sitio"
Usuario perdido,Ya no hay contagio .. Pregunto,no_relacionado
Usuario perdido,y ese alcalde q no hace nd,no_relacionado
Usuario perdido,debemos actuar nosotros porq ya no hay confianza en la policia.ya no tomar en cuenta sino actuar nosotros .,no_relacionado
Usuario perdido,Pero no hay q hacer paro dice...,no_relacionado
Usuario perdido,no hay policias,no_relacionado
Usuario perdido,no puedo ser,no_relacionado
Usuario perdido,"Estamos en un pais de delincuencia vivimos con el miedo constante de que nos pase algo, por watr en el momento y lugar equivocado.",lugar
Usuario perdido,no puede tener un policia alado pero si podria tener un arma.,no_relacionado
Usuario perdido,"pero necesitamos saber el contexto , no quita que por algun tipo de descuido igual y alguien se llevo",no_relacionado
Usuario perdido,hoy por hoy creo que mas hay que tenerle a la policia,no_relacionado
Usuario perdido,es verdad ya no se puede es de marido tanta delincuencia en ecuador creo q la policia lla es complice de la delincuencia ppp,no_relacionado
Usuario perdido,creo que la policia esta de acuerdo con los ladrones,no_relacionado
Usuario perdido,"El robo es generalizado en todo este pobre pais... Aqui en mi ciudad, Pasaje, uno ya no puede salir ni a caminar, roban hasta los zapatos...",no_relacionado
Usuario perdido,donde esta la policia donde esta los militares !!! ?,no_relacionado
Usuario perdido,camaras el ecuuuuu que hacen,no_relacionado
Usuario perdido,estamos en un pais de nadie amigo las leyes miserables que ay x eso la policia no ase nd si actua se van preso,no_relacionado
Usuario perdido,"Es tan evidente que prefieren recaudar con los agentes de transito, a que contratar mas policias. Que impotencia no poder intervenir sin consecuencias",no_relacionado
Usuario perdido,Creo que en Ecjador no hay autoridades estamos a la deriva.,no_relacionado
Usuario perdido,perdon pero los policias de nuestro pais da mucho que hablar pero ya no hacen nada por protejer nos,no_relacionado
Usuario perdido,Asi tuvieramos un policia a lado no pueden hacer nada eso ya lo sabemos de sobra.,no_relacionado
Usuario perdido,en cuenca no hay autoridades estamos como el viejo oeste,no_relacionado
Usuario perdido,"Estamos super mal, el pais y el mundo en general.",no_relacionado
Usuario perdido,PARA QUE SI NO ASEN NADA,no_relacionado
Usuario perdido,que penacque este pasando esto en mi Cuenca linda.. soy de manta y vivo en la florida.. pobre mi Ecuador..,no_relacionado
Usuario perdido,Anuncios Hacer Justicia con nuestras Manos por que la Policia no hace Nada...,no_relacionado
Usuario perdido,Ecuador no Tiene Presidente Ni Alcaldes,no_relacionado
Usuario perdido,ni policia ni guardia ciudadana ni nada...!,no_relacionado
Usuario perdido,no hay policias no hay presidente no hay justicia .... !!! pueblo de nadie ni de la ciudadania,no_relacionado
Usuario perdido,y ahora que hacemos de que sirve tener chapas en el pais si nunca hacen nada solo sirven para disparar a los indigenas,no_relacionado
Usuario perdido,Jaajajaja es una bici normal,no_relacionado
Usuario perdido,si estos dias los deli cuentes estan haciendo de las suyas en todo el pais en latacunga esta peor,no_relacionado
Usuario perdido,Es verdad que lamentable que la delincuencia sea un pan de cada dia,no_relacionado
Usuario no disponible,viva Guayaquil en sus fiestas patronales saludos desde santa rosa el oro Ecuador,no_relacionado
Usuario no disponible,Gracias a .ec .,no_relacionado
Usuario no disponible,viva guayaquil carajoooo,no_relacionado
Usuario no disponible,Que viva mi linda y bella ciudad de Guayaquil en sus 490 Anos de Fundacion.,no_relacionado
Usuario no disponible,La majestuosa Guayaquil,no_relacionado
Usuario no disponible,Saludos viva Guayaquil.,no_relacionado
Usuario no disponible,mi Guayas,no_relacionado
Usuario no disponible,"bella,,imponente ciudad cosmopolita",no_relacionado
Usuario no disponible,Vivaaa Guayaquil,no_relacionado
Usuario no disponible,Loor en sus fiestas a Guayaquil de mis amores,no_relacionado
Usuario no disponible,Q VIVA X SIEMPRE NUESTRA BELLA PERLA DEL PACIFICO,no_relacionado
Usuario perdido,yo si dije los rc5 llegaron a cuenca,no_relacionado
Usuario perdido,"Ya no seguir promocionando a la ciudad como segura, esto esta haciendo que llegue gente de otros lados acometer fechorias, y no arrendar a cualquiera.",no_relacionado
Usuario perdido,Y ese letrero de se siente que es lo que se siente?,no_relacionado
Usuario perdido,Ojala veo eso el alcalde Zamora y solucione el es bravisimo,no_relacionado
Usuario perdido,debe haber control policial.. yo subia por la cuenca molleturo y subian muchas motos sin placas y son gente de la Costa,no_relacionado
Usuario perdido,Y yo me mudo manana a ese conjunto habitacional,no_relacionado
Usuario perdido,buen trabajo senores policias,no_relacionado
Usuario perdido,"y ahora ' Cuenca es segura"" dicen algunos ..",no_relacionado
Usuario perdido,"y no se llenaban la boca diciendo que en Cuenca no pasa nafa, que la seguridad de la ciudad esta al 100% y como es que ahora se contradicen.!!",no_relacionado
Usuario perdido,pero si esa persona no es la q sale en el video cuando se roban la camioneta,no_relacionado
Usuario perdido,no hay policias en cuenca 200 elementos fueron enviados a Guayaquil porque ?,no_relacionado
Usuario perdido,gente de la costa hicieron guarida en cuenca para delinquir,no_relacionado
Usuario perdido,"suerte para los que son pudientes, pero para la gente comun y corriente los carritos desaparecen; nadie le colabora.",no_relacionado
Usuario perdido,a unirse solo el pueblo salva al pueblo,no_relacionado
Usuario perdido,Felicitaciones Senores Policias Nacional,no_relacionado
Usuario perdido,"Por favor, tambien que vigilen por la facultad de odontologia de la universidad catolica de cueca , estan personas sospechosas utilizando el uniforme celeste con gorras negras y abrigos",no_relacionado
Usuario perdido,si para ingresar al condominio los guardias piden el numero de cedula y revisan el carro ..asi no mas no dejan pasar ..ahi los guardias tienen algo,no_relacionado
Usuario perdido,avisaran para cuantos anos o para cuantas hora estara detenido para la publicidad que asen minimo 20 anos,no_relacionado
Usuario perdido,Excelente labor senores de la Polinal,no_relacionado
Usuario perdido,dejaran ver la cara,no_relacionado
Usuario perdido,"Asi deben actuar en todos los casos, ser inteligentes para detener a los delincuentes. No debe existir casos especiales en donde si actua la policia, etc., etc.",no_relacionado
Usuario perdido,no confio en la justicia de mi pais,no_relacionado
Usuario perdido,Esos carros son rastreables en todo lado,no_relacionado
Usuario perdido,enseguida salen,no_relacionado
Usuario perdido,ahora los q sale de la costa van a correr a cuenca ...es ahora o se puede volver como manta,no_relacionado
Usuario perdido,hace rato solo que ellos dicen no pasa nada,no_relacionado
Usuario perdido,con razon tantos arriendos disponibles en ese lugar y economicos,lugar
Usuario perdido,si el pueblo salva el pueblo,no_relacionado
Usuario perdido,Que terrible. Ojala y el alcalde haga algo.,no_relacionado
