usuario,comentario,keywords_detectadas
Usuario no disponible,Muy hermos ese lugar y la joven turista muy hermosa,lugar
Usuario no disponible,en que lado es,no_relacionado
Usuario no disponible,precio del tours,precio
Usuario no disponible,que bonito ese lugar,"bonito, lugar"
Usuario no disponible,Hermosa,no_relacionado
Usuario no disponible,q precio sale el tour,"precio, tour"
Usuario no disponible,si lo conozco corazon,no_relacionado
Usuario no disponible,te invito q vallas a conocer las aguas termales don cheo La Grita,"conocer, termales"
Usuario no disponible,,no_relacionado
Usuario no disponible,Hola informacion por favor,informacion
Usuario no disponible,cuanto cuesta un vuelo desde Ecuador,no_relacionado
Usuario no disponible,Info xfa,no_relacionado
Usuario no disponible,informacion,informacion
Usuario no disponible,inf,no_relacionado
Usuario no disponible,Informacion por favor,informacion
Usuario no disponible,Info,no_relacionado
Usuario no disponible,sigue disponible,no_relacionado
Usuario no disponible,Como lo reservo,no_relacionado
Usuario no disponible,Otro video mas y voy caminado a Brasil,no_relacionado
Usuario no disponible,informacion para un viaje en Pareja,"informacion, viaje"
Usuario no disponible,yo yo yooooo pero viajo en marzo 2026,no_relacionado
Usuario no disponible,informacion,informacion
Usuario no disponible,cuanto vale ??,no_relacionado
Usuario no disponible,Inf,no_relacionado
Usuario no disponible,Informacion por favor,informacion
Usuario no disponible,info,no_relacionado
Usuario no disponible,hola! tambien incluye boleto aereo?,no_relacionado
Usuario no disponible,me puede ayudar con mas informacion,informacion
Usuario no disponible,informacion xfvor,informacion
Usuario no disponible,yo vivo en galapagos que es mas hermoso,hermoso
Usuario no disponible,"EL SALVADOR ES EL VERDADERO""ES UN PAIS PEQUENO PERO.. """,no_relacionado
Usuario no disponible,Hermoso donde es? Como se puede llegar ?,hermoso
Usuario no disponible,Nuestro pais es espectacular. Viva Ecuador,no_relacionado
Usuario no disponible,Si volviera a nacer quiero nacer nuevamente en mi lindo Ecuador.,no_relacionado
Usuario no disponible,Mi Ecuador bonito no te hacen justicia ni estos videos tan bonitos,bonito
Usuario no disponible,Ese de Guayaquil tiene historia,no_relacionado
Usuario no disponible,"Ay que lindo, yo toda la vida en Ecuador y solo conozco loja, pero es re linda igual",no_relacionado
Usuario no disponible,Precioso quede enamorada de mi pais y con ganas de volver,no_relacionado
Usuario no disponible,xfin alguien q si muestra fotos de ecuador,no_relacionado
Usuario no disponible,"Ya olviden esa idea de q es pequeno, es mas grande q cualquier pais de Centro America, estuviera en Europa seria uno de los mas grands de Europ",no_relacionado
Usuario no disponible,Enamorada de cada lugar maravilloso de nuestro pais,lugar
Usuario no disponible,si es verdad,no_relacionado
Usuario no disponible,Pequeno en tamano pero grande en belleza.,no_relacionado
Usuario no disponible,Ecuador pais de los 4 mundos,no_relacionado
Usuario no disponible,"Ecuador no es pequeno ...Somos mas grades q Reino Unido y de la mayoria de paises europeos...En LATAM los paises son gigantes, Brasil es casi Europa",no_relacionado
Usuario no disponible,Ante tanta noticia mala que pasa en mi pais esto es dar a conocer al mundo su belleza natural y refresca el alma esperando mejorar nuestra situacion,conocer
Usuario no disponible,Hermoso gracias,hermoso
Usuario no disponible,Es precioso Ecuador,no_relacionado
Usuario no disponible,viva Guayaquil en sus fiestas patronales saludos desde santa rosa el oro Ecuador,no_relacionado
Usuario no disponible,Gracias a .ec .,no_relacionado
Usuario no disponible,viva guayaquil carajoooo,no_relacionado
Usuario no disponible,Que viva mi linda y bella ciudad de Guayaquil en sus 490 Anos de Fundacion.,no_relacionado
Usuario no disponible,La majestuosa Guayaquil,no_relacionado
Usuario no disponible,Saludos viva Guayaquil.,no_relacionado
Usuario no disponible,mi Guayas,no_relacionado
Usuario no disponible,"bella,,imponente ciudad cosmopolita",no_relacionado
Usuario no disponible,Vivaaa Guayaquil,no_relacionado
Usuario no disponible,Loor en sus fiestas a Guayaquil de mis amores,no_relacionado
Usuario no disponible,Q VIVA X SIEMPRE NUESTRA BELLA PERLA DEL PACIFICO,no_relacionado
Usuario no disponible,proxima salida,no_relacionado
Usuario no disponible,Interesante plan,no_relacionado
Usuario no disponible,Todo se ve muy lindoooo algun dia ire,no_relacionado
Usuario no disponible,si muy lindo todo,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
